table_name,model,track,n,extract,verdict,cert,full,not_extractable,provider_error,verdict_wrong,certificate_invalid,correct,certificate_type,gold_verdict,failure_category,count,percentage,dist_trace_full,eq_witness_full,dist_trace_cert,eq_witness_cert,subtype_gap
failure_taxonomy,qwen2.5-coder_7b,R0,,,,,,,,,,,distinguishing_trace,,acceptance_mismatch,45,0.978,,,,,
failure_taxonomy,qwen2.5-coder_7b,R0,,,,,,,,,,,distinguishing_trace,,replay_failure,1,0.022,,,,,
failure_taxonomy,qwen2.5-coder_7b,R1,,,,,,,,,,,equivalence_witness,,equivalence_hash_mismatch,15,1.0,,,,,
failure_taxonomy,qwen2.5-coder_7b,R1,,,,,,,,,,,distinguishing_trace,,acceptance_mismatch,49,1.0,,,,,
failure_taxonomy,qwen2.5-coder_7b,R2,,,,,,,,,,,equivalence_witness,,equivalence_hash_mismatch,19,1.0,,,,,
failure_taxonomy,qwen2.5-coder_7b,R2,,,,,,,,,,,distinguishing_trace,,acceptance_mismatch,17,1.0,,,,,
gap_decomposition,gemma2_9b,R0,,,,,,,,,,,,,,,,0.49,0.0,0.49,0.0,0.49
gap_decomposition,gemma2_9b,R1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
gap_decomposition,gemma2_9b,R2,,,,,,,,,,,,,,,,0.061,0.0,0.061,0.0,0.061
gap_decomposition,llama3.1_8b,R0,,,,,,,,,,,,,,,,0.408,0.0,0.408,0.0,0.408
gap_decomposition,llama3.1_8b,R1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
gap_decomposition,llama3.1_8b,R2,,,,,,,,,,,,,,,,0.0,0.02,0.0,0.02,-0.02
gap_decomposition,mistral-nemo_12b,R0,,,,,,,,,,,,,,,,0.204,0.0,0.204,0.0,0.204
gap_decomposition,mistral-nemo_12b,R1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
gap_decomposition,mistral-nemo_12b,R2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
gap_decomposition,qwen2.5-coder_7b,R0,,,,,,,,,,,,,,,,0.061,0.0,0.061,0.0,0.061
gap_decomposition,qwen2.5-coder_7b,R1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
gap_decomposition,qwen2.5-coder_7b,R2,,,,,,,,,,,,,,,,0.612,0.0,0.612,0.0,0.612
